Name,Rentals total,Rentals out,Rentals in,00:00 - 11:00 out,00:00 - 11:00 in,11:00 - 15:00 out,11:00 - 15:00 in,15:00 - 19:00 out,15:00 - 19:00 in,19:00 - 23:59 out,19:00 - 23:59 in,Time low [%],Time full [%],Median bikes
HISTORIC FOURTH WARD PARK,4,1,3,1,1,0,0,0,2,0,0,0.0,31.91,10.0
JACKSON STREET BRIDGE,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
WEST END STATION,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
THE COCA-COLA COMPANY,4,3,1,0,1,0,0,3,0,0,0,0.0,0.0,4.5
TECH PARKWAY,3,2,1,0,0,2,0,0,0,0,1,29.68,0.0,1.0
GEORGIA TECH - CRC,12,6,6,0,3,1,0,1,1,4,2,0.0,0.0,4.0
GEORGIA TECH - WEST CAMPUS HOUSING ,6,3,3,1,0,1,2,0,1,1,0,0.0,0.0,3.0
HOME PARK,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
CENTRAL PARK,3,1,2,1,1,0,0,0,0,0,1,0.0,100.0,15.0
GEORGIA TECH - TRANSIT HUB,8,5,3,1,1,1,1,2,0,1,1,0.0,0.0,2.0
GEORGIA TECH - BOBBY DODD STADIUM,11,6,5,0,0,3,0,0,1,3,4,0.0,0.0,6.0
STATE & 11TH,7,3,4,3,0,0,0,0,3,0,1,0.0,0.0,3.0
14TH & HOWELL MILL,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
MARTA - INMAN PARK ,2,1,1,0,0,0,0,0,1,1,0,0.0,0.0,3.5
VIRGINIA-HIGHLAND,1,1,0,0,0,0,0,0,0,1,0,0.0,0.0,5.5
INMAN PARK VILLAGE,4,2,2,0,0,0,0,2,0,0,2,0.0,0.0,4.0
GRANT PARK ,0,0,0,0,0,0,0,0,0,0,0,0.0,100.0,0
HIGHLAND - FREEDOM TRAIL,4,2,2,1,0,1,0,0,2,0,0,0.0,0.0,5.0
PONCE - HIGHLAND,1,0,1,0,0,0,0,0,0,0,1,0.0,0.0,8.0
