Name,Rentals total,Rentals out,Rentals in,00:00 - 11:00 out,00:00 - 11:00 in,11:00 - 15:00 out,11:00 - 15:00 in,15:00 - 19:00 out,15:00 - 19:00 in,19:00 - 23:59 out,19:00 - 23:59 in,Time low [%],Time full [%],Median bikes
VIRTUAL HUB - ATLANTA BICYCLE COALITION,5,4,1,0,0,3,1,0,0,1,0,5.42,50.04,1.0
VIRTUAL HUB - CANDLER PARK ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - BROWNWOOD PARK RECREATION CENTER,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
TWO WHEEL VALET-CARE WALK IN HER SHOES- VIRTUAL HUB,0,0,0,0,0,0,0,0,0,0,0,67.3,0.0,0.0
BROAD & MITCHELL,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
TECH SQUARE ,26,14,12,1,1,1,6,12,5,0,0,0.0,0.0,5.5
MARTA - KING MEMORIAL ,4,3,1,0,1,0,0,3,0,0,0,0.0,0.0,3.5
OUTWRIGHT STATION,22,13,9,3,0,3,2,5,5,2,2,0.0,0.0,3.0
MARTA - PEACHTREE CENTER ,1,0,1,0,0,0,1,0,0,0,0,0.0,0.0,10.0
VIRTUAL HUB - WASHINGTON PARK ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - HYATT HOUSE ATLANTA,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - WASHINGTON PARK LIBRARY ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - GRADUATE LIVING CENTER,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
GEORGIA TECH - CLOUGH BUILDING,7,5,2,1,0,4,1,0,0,0,1,0.0,0.0,7.0
MARTA - MIDTOWN  (NORTH),20,13,7,2,2,2,0,7,5,2,0,0.0,0.0,5.5
VIRTUAL HUB - MARIETTA AND BOSS STREET NW ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - EAST ATLANTA VILLAGE,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - COAN PARK RECREATION CENTER ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB- TWO WHEEL VALET/ ATLANTA UNITED,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - KROGER/GLEENWOOD HUB ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
WOODRUFF PARK,4,3,1,0,0,3,1,0,0,0,0,0.0,0.0,2.0
GSU ARTS & HUMANITIES BLDG,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,5.0
GSU MARTA,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
SWEET AUBURN MARKET,0,0,0,0,0,0,0,0,0,0,0,29.31,0.0,2.5
NELSON ST BRIDGE,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
CITY HALL,2,1,1,1,0,0,1,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - M. RICH CENTER,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
CENTENNIAL OLYMPIC PARK,15,10,5,1,0,0,0,9,2,0,3,0.0,0.0,7.0
FAIRLIE-POPLAR DISTRICT,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0
PIEDMONT &  AUBURN,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
MARTA - NORTH AVE ,8,7,1,0,0,1,0,6,1,0,0,0.0,29.31,8.5
AUC - WOODRUFF LIBRARY,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
PIEDMONT PARK & EASTSIDE BELTLINE,118,56,62,5,4,23,23,28,32,0,3,0.0,7.88,8.0
PIEDMONT PARK EAST,48,25,23,3,0,10,10,9,8,3,5,0.0,0.0,5.5
STUDIOPLEX,9,3,6,0,0,0,2,3,4,0,0,0.0,4.99,10.0
KING OF POPS,89,47,42,1,2,9,10,30,27,7,3,0.0,80.91,16.0
GREENWOOD AVE BELTLINE,41,18,23,2,2,5,3,9,14,2,4,2.06,0.0,3.0
MARTA - ARTS CENTER ,11,6,5,0,0,6,2,0,2,0,1,0.0,0.0,5.0
ATKINS PARK,4,4,0,0,0,3,0,1,0,0,0,0.0,0.0,2.5
JACKSON & CHAMBERLAIN,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
RANDOLPH & EDGEWOOD,7,5,2,0,0,2,1,3,1,0,0,0.0,0.0,2.5
EDGEWOOD & EASTSIDE BELTLINE,16,5,11,2,0,1,1,2,9,0,1,0.0,0.0,4.0
5TH & ARGONNE,10,6,4,1,0,3,0,2,4,0,0,0.0,0.0,3.0
LITTLE FIVE POINTS,3,1,2,0,0,0,2,1,0,0,0,0.0,0.0,9.0
INMAN PARK,10,5,5,0,0,0,1,4,4,1,0,0.0,100.0,12.0
PARK & MEMORIAL,1,1,0,0,0,1,0,0,0,0,0,0.0,0.0,3.0
CHEROKEE & WOODWARD,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.5
VIRTUAL HUB - MILLTOWN,1,0,1,0,0,0,0,0,1,0,0,64.89,0.0,1.0
BUCKHEAD - TOWER PLACE,2,1,1,0,0,0,0,1,1,0,0,0.0,0.0,7.5
BUCKHEAD - PIEDMONT CENTER,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.5
MARTA - LENOX SQUARE,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.0
ATLANTIC STATION,4,2,2,0,0,1,1,1,1,0,0,0.0,0.0,9.0
MARTA - GARNETT,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
IRWIN & EASTSIDE BELTLINE ,83,41,42,3,1,19,17,18,24,1,0,0.0,43.59,10.0
Relay HQ (Deleted),0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL HUB - 329 NELSON ST (Special Event, Oct)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL HUB - 313 NELSON ST (Special Event, Oct)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL HUB - Two Wheel Valet/ABC Donation Hub - PRIDE (Special Event, Oct)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
