Name,Rentals total,Rentals out,Rentals in,00:00 - 11:00 out,00:00 - 11:00 in,11:00 - 15:00 out,11:00 - 15:00 in,15:00 - 19:00 out,15:00 - 19:00 in,19:00 - 23:59 out,19:00 - 23:59 in,Time low [%],Time full [%],Median bikes
VIRTUAL HUB - ATLANTA BICYCLE COALITION,2,0,2,0,0,0,1,0,0,0,1,0.0,47.03,3.5
VIRTUAL HUB - CANDLER PARK ,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - BROWNWOOD PARK RECREATION CENTER,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
TWO WHEEL VALET-CARE WALK IN HER SHOES- VIRTUAL HUB,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
BROAD & MITCHELL,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
TECH SQUARE ,13,6,7,0,0,2,3,3,3,1,1,0.0,0.0,10.0
MARTA - KING MEMORIAL ,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
OUTWRIGHT STATION,1,0,1,0,0,0,0,0,0,0,1,0.0,0.0,11.0
MARTA - PEACHTREE CENTER ,0,0,0,0,0,0,0,0,0,0,0,33.38,0.0,2.5
VIRTUAL HUB - WASHINGTON PARK ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - HYATT HOUSE ATLANTA,1,1,0,1,0,0,0,0,0,0,0,75.45,0.0,0.0
VIRTUAL HUB - WASHINGTON PARK LIBRARY ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - GRADUATE LIVING CENTER,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
GEORGIA TECH - CLOUGH BUILDING,17,9,8,0,3,1,2,7,3,1,0,0.0,57.6,11.0
MARTA - MIDTOWN  (NORTH),11,7,4,1,1,1,1,2,2,3,0,0.0,0.0,4.0
VIRTUAL HUB - MARIETTA AND BOSS STREET NW ,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - EAST ATLANTA VILLAGE,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - COAN PARK RECREATION CENTER ,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB- TWO WHEEL VALET/ ATLANTA UNITED,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - KROGER/GLEENWOOD HUB ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
WOODRUFF PARK,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
GSU ARTS & HUMANITIES BLDG,1,1,0,0,0,1,0,0,0,0,0,0.0,0.0,2.0
GSU MARTA,1,1,0,0,0,1,0,0,0,0,0,0.0,0.0,2.0
SWEET AUBURN MARKET,3,2,1,0,0,0,0,0,1,2,0,0.0,0.0,2.0
NELSON ST BRIDGE,1,1,0,0,0,0,0,1,0,0,0,0.0,0.0,4.0
CITY HALL,1,0,1,0,1,0,0,0,0,0,0,0.0,0.0,5.0
VIRTUAL HUB - M. RICH CENTER,1,0,1,0,0,0,0,0,1,0,0,45.57,0.0,0.5
CENTENNIAL OLYMPIC PARK,1,0,1,0,0,0,0,0,1,0,0,0.0,0.0,7.0
FAIRLIE-POPLAR DISTRICT,1,0,1,0,1,0,0,0,0,0,0,88.13,0.0,0.5
PIEDMONT &  AUBURN,3,1,2,0,1,0,0,1,0,0,1,0.0,0.0,3.0
MARTA - NORTH AVE ,5,2,3,0,1,0,0,1,2,1,0,0.0,0.0,3.5
AUC - WOODRUFF LIBRARY,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
PIEDMONT PARK & EASTSIDE BELTLINE,2,0,2,0,1,0,0,0,1,0,0,0.0,100.0,23.0
PIEDMONT PARK EAST,7,4,3,0,0,0,0,4,3,0,0,0.0,0.0,6.0
STUDIOPLEX,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
KING OF POPS,3,0,3,0,0,0,1,0,2,0,0,0.0,46.92,12.0
GREENWOOD AVE BELTLINE,4,2,2,1,0,1,0,0,2,0,0,0.0,0.0,5.0
MARTA - ARTS CENTER ,2,1,1,0,0,0,0,1,1,0,0,0.0,0.0,2.0
ATKINS PARK,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.0
JACKSON & CHAMBERLAIN,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
RANDOLPH & EDGEWOOD,2,0,2,0,0,0,0,0,0,0,2,0.0,0.0,5.0
EDGEWOOD & EASTSIDE BELTLINE,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
5TH & ARGONNE,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
LITTLE FIVE POINTS,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
INMAN PARK,0,0,0,0,0,0,0,0,0,0,0,0.0,100.0,0
PARK & MEMORIAL,3,1,2,0,0,0,1,1,0,0,1,0.0,0.0,4.0
CHEROKEE & WOODWARD,2,1,1,0,1,0,0,0,0,1,0,0.0,0.0,1.5
VIRTUAL HUB - MILLTOWN,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
BUCKHEAD - TOWER PLACE,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
BUCKHEAD - PIEDMONT CENTER,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
MARTA - LENOX SQUARE,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
ATLANTIC STATION,2,1,1,0,0,1,1,0,0,0,0,0.0,0.0,0
MARTA - GARNETT,1,1,0,1,0,0,0,0,0,0,0,0.0,0.0,7.0
IRWIN & EASTSIDE BELTLINE ,2,1,1,1,0,0,0,0,1,0,0,0.0,0.0,6.5
Relay HQ (Deleted),0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL HUB - 329 NELSON ST (Special Event, Oct)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL HUB - 313 NELSON ST (Special Event, Oct)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL HUB - Two Wheel Valet/ABC Donation Hub - PRIDE (Special Event, Oct)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL  HUB - Two Wheel Valet/ABC Donation Hub (Special Event, Nov, Dec)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - DUNBAR REC CENTER,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL HUB - Two Wheel Valet/ABC Donation Hub - Taste of Atlanta (Special Event, Nov))",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
CASTLEBERRY HILL,0,0,0,0,0,0,0,0,0,0,0,0.0,100.0,0
"VIRTUAL HUB - Two Wheel Valet/ABC Donation Hub CHOMP AND STOMP (Special Event, Oct)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL HUB - FALCONS TAILGATE (Special Event, Nov)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL HUB - PATH PARKWAY (Special Event, Dec)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - PITTMAN REC CENTER,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - RDA SQUARE,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - MECHANICSVILLE LIBRARY,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - METROPOLITAN LIBRARY,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - GEORGIA HILL CENTER,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - GRANT PARK EAST,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - NCR,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - BLINKIES!,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - GLENWOOD PARK,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - EAST ATLANTA LIBRARY,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - HOSEA WILLIAMS AND WOODBINE ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - KIRKWOOD STATION,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - WHITEFORD AND WOODBINE,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - KIRKWOOD TRIANGLE,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - CANDLER PARK MARKET,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - HODGEPODGE COFFEE ,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - ORMEWOOD PARK ,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - GOLDSBORO PARK,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - CABBAGETOWN PARK,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB-MANUAL'S TAVERN-TWO WHEEL TUESDAY (Special Event Feb 20) ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - VORTEX MIDTOWN,1,0,1,0,0,0,0,0,1,0,0,78.07,0.0,1.0
VIRTUAL HUB - HIGH MUSEUM ,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB -  FOX THEATER (PONCE DE LEON AND PEACHTREE STREET),1,0,1,0,0,0,0,0,0,0,1,83.79,0.0,1.0
VIRTUAL HUB - 17TH AND PEACHTREE STREET,2,1,1,0,1,1,0,0,0,0,0,0.0,0.0,1.5
VIRTUAL HUB-WOODRUFF PARK ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB-STANTON PARK  (SCAVENGER HUNT-CHAMPS),0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
HARDY IVY PARK,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
