Name,Rentals total,Rentals out,Rentals in,00:00 - 11:00 out,00:00 - 11:00 in,11:00 - 15:00 out,11:00 - 15:00 in,15:00 - 19:00 out,15:00 - 19:00 in,19:00 - 23:59 out,19:00 - 23:59 in,Time low [%],Time full [%],Median bikes
VIRTUAL HUB - ATLANTA BICYCLE COALITION,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - CANDLER PARK ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - BROWNWOOD PARK RECREATION CENTER,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
TWO WHEEL VALET-CARE WALK IN HER SHOES- VIRTUAL HUB,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
BROAD & MITCHELL,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
TECH SQUARE ,9,4,5,0,0,3,3,1,2,0,0,0.0,0.0,3.0
MARTA - KING MEMORIAL ,3,0,3,0,0,0,0,0,1,0,2,0.0,0.0,4.0
OUTWRIGHT STATION,42,18,24,2,3,6,8,10,11,0,2,0.0,0.0,6.0
MARTA - PEACHTREE CENTER ,1,1,0,0,0,1,0,0,0,0,0,0.0,0.0,7.5
VIRTUAL HUB - WASHINGTON PARK ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - HYATT HOUSE ATLANTA,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - WASHINGTON PARK LIBRARY ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - GRADUATE LIVING CENTER,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
GEORGIA TECH - CLOUGH BUILDING,12,8,4,2,1,2,0,1,2,3,1,2.24,0.0,3.0
MARTA - MIDTOWN  (NORTH),6,2,4,2,0,0,0,0,2,0,2,0.0,0.0,2.5
VIRTUAL HUB - MARIETTA AND BOSS STREET NW ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - EAST ATLANTA VILLAGE,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - COAN PARK RECREATION CENTER ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB- TWO WHEEL VALET/ ATLANTA UNITED,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - KROGER/GLEENWOOD HUB ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
WOODRUFF PARK,3,1,2,0,0,1,2,0,0,0,0,0.0,0.0,5.0
GSU ARTS & HUMANITIES BLDG,3,2,1,0,0,1,1,1,0,0,0,0.0,0.0,7.0
GSU MARTA,1,1,0,0,0,0,0,0,0,1,0,0.0,0.0,4.0
SWEET AUBURN MARKET,4,2,2,0,0,0,0,2,2,0,0,0.0,0.0,0
NELSON ST BRIDGE,3,3,0,0,0,2,0,1,0,0,0,0.0,0.0,3.0
CITY HALL,2,1,1,1,1,0,0,0,0,0,0,0.0,0.0,7.5
VIRTUAL HUB - M. RICH CENTER,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
CENTENNIAL OLYMPIC PARK,13,5,8,0,0,4,2,1,6,0,0,0.0,0.0,5.0
FAIRLIE-POPLAR DISTRICT,3,1,2,0,1,0,1,1,0,0,0,0.0,0.0,3.0
PIEDMONT &  AUBURN,2,0,2,0,0,0,0,0,2,0,0,0.0,0.0,9.5
MARTA - NORTH AVE ,4,1,3,0,0,1,0,0,3,0,0,0.0,0.0,2.5
AUC - WOODRUFF LIBRARY,4,2,2,2,2,0,0,0,0,0,0,0.0,0.0,0
PIEDMONT PARK & EASTSIDE BELTLINE,189,88,101,10,7,35,39,42,52,1,3,0.0,42.58,18.0
PIEDMONT PARK EAST,65,29,36,2,0,12,13,15,22,0,1,0.0,20.69,7.0
STUDIOPLEX,29,15,14,1,0,3,3,11,11,0,0,0.0,8.19,10.0
KING OF POPS,40,20,20,0,0,10,8,9,8,1,4,0.0,0.0,5.0
GREENWOOD AVE BELTLINE,85,39,46,1,1,19,18,17,27,2,0,0.0,33.36,10.0
MARTA - ARTS CENTER ,3,3,0,0,0,3,0,0,0,0,0,40.86,0.0,1.0
ATKINS PARK,5,3,2,1,0,2,2,0,0,0,0,39.34,0.0,1.0
JACKSON & CHAMBERLAIN,10,7,3,1,0,5,1,1,2,0,0,0.0,0.0,6.5
RANDOLPH & EDGEWOOD,0,0,0,0,0,0,0,0,0,0,0,70.7,0.0,0.0
EDGEWOOD & EASTSIDE BELTLINE,14,7,7,1,0,5,1,1,5,0,1,0.0,0.0,7.0
5TH & ARGONNE,6,3,3,0,0,1,1,1,2,1,0,0.0,0.0,3.5
LITTLE FIVE POINTS,11,4,7,0,0,1,0,3,5,0,2,0.0,0.0,8.5
INMAN PARK,7,3,4,0,1,2,1,0,2,1,0,0.0,100.0,13.0
PARK & MEMORIAL,2,2,0,0,0,0,0,2,0,0,0,0.0,0.0,1.5
CHEROKEE & WOODWARD,2,1,1,0,0,0,0,1,1,0,0,8.51,0.0,0.5
VIRTUAL HUB - MILLTOWN,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
BUCKHEAD - TOWER PLACE,19,9,10,3,4,0,0,6,6,0,0,0.0,0.0,7.5
BUCKHEAD - PIEDMONT CENTER,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
MARTA - LENOX SQUARE,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
ATLANTIC STATION,15,7,8,0,0,0,1,7,7,0,0,0.0,0.0,9.0
MARTA - GARNETT,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
IRWIN & EASTSIDE BELTLINE ,84,37,47,2,2,15,17,20,27,0,1,0.0,37.76,13.0
Relay HQ (Deleted),0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL HUB - 329 NELSON ST (Special Event, Oct)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL HUB - 313 NELSON ST (Special Event, Oct)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL HUB - Two Wheel Valet/ABC Donation Hub - PRIDE (Special Event, Oct)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL  HUB - Two Wheel Valet/ABC Donation Hub (Special Event, Nov, Dec)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - DUNBAR REC CENTER,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
"VIRTUAL HUB - Two Wheel Valet/ABC Donation Hub - Taste of Atlanta (Special Event, Nov))",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
CASTLEBERRY HILL,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL HUB - Two Wheel Valet/ABC Donation Hub CHOMP AND STOMP (Special Event, Oct)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL HUB - FALCONS TAILGATE (Special Event, Nov)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL HUB - PATH PARKWAY (Special Event, Dec)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - PITTMAN REC CENTER,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - RDA SQUARE,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
