Name,Rentals total,Rentals out,Rentals in,00:00 - 11:00 out,00:00 - 11:00 in,11:00 - 15:00 out,11:00 - 15:00 in,15:00 - 19:00 out,15:00 - 19:00 in,19:00 - 23:59 out,19:00 - 23:59 in,Time low [%],Time full [%],Median bikes
VIRTUAL HUB - ATLANTA BICYCLE COALITION,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - CANDLER PARK ,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - BROWNWOOD PARK RECREATION CENTER,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
TWO WHEEL VALET-CARE WALK IN HER SHOES- VIRTUAL HUB,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
BROAD & MITCHELL,2,1,1,0,0,1,1,0,0,0,0,0.0,0.0,0
TECH SQUARE ,14,6,8,0,1,4,3,2,2,0,2,0.0,0.0,5.0
MARTA - KING MEMORIAL ,8,4,4,0,0,4,3,0,1,0,0,0.0,0.0,5.5
OUTWRIGHT STATION,13,5,8,0,0,0,0,4,4,1,4,0.0,0.0,7.0
MARTA - PEACHTREE CENTER ,2,1,1,0,0,0,0,1,0,0,1,75.72,0.0,1.0
VIRTUAL HUB - WASHINGTON PARK ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - HYATT HOUSE ATLANTA,2,1,1,0,0,0,0,0,0,1,1,96.88,0.0,0.5
VIRTUAL HUB - WASHINGTON PARK LIBRARY ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - GRADUATE LIVING CENTER,1,0,1,0,0,0,1,0,0,0,0,0.0,0.0,1.0
GEORGIA TECH - CLOUGH BUILDING,20,9,11,1,6,1,2,5,3,2,0,0.0,64.2,15.0
MARTA - MIDTOWN  (NORTH),9,5,4,0,1,0,0,5,3,0,0,0.0,0.0,3.0
VIRTUAL HUB - MARIETTA AND BOSS STREET NW ,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - EAST ATLANTA VILLAGE,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - COAN PARK RECREATION CENTER ,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB- TWO WHEEL VALET/ ATLANTA UNITED,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - KROGER/GLEENWOOD HUB ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
WOODRUFF PARK,11,5,6,1,3,1,0,3,2,0,1,0.0,0.0,4.5
GSU ARTS & HUMANITIES BLDG,4,2,2,0,1,2,1,0,0,0,0,0.0,0.0,2.0
GSU MARTA,5,2,3,1,3,1,0,0,0,0,0,0.0,0.0,4.5
SWEET AUBURN MARKET,1,0,1,0,0,0,1,0,0,0,0,0.0,0.0,7.0
NELSON ST BRIDGE,5,2,3,0,0,1,2,1,1,0,0,0.0,0.0,3.0
CITY HALL,4,2,2,0,1,2,1,0,0,0,0,0.0,0.0,7.0
VIRTUAL HUB - M. RICH CENTER,0,0,0,0,0,0,0,0,0,0,0,66.59,0.0,0.0
CENTENNIAL OLYMPIC PARK,13,5,8,1,2,3,5,1,1,0,0,0.0,0.0,12.0
FAIRLIE-POPLAR DISTRICT,3,2,1,0,0,1,1,1,0,0,0,49.92,0.0,1.0
PIEDMONT &  AUBURN,7,6,1,0,0,0,0,0,1,6,0,0.0,0.0,5.0
MARTA - NORTH AVE ,7,3,4,2,1,0,1,1,2,0,0,0.0,0.0,2.0
AUC - WOODRUFF LIBRARY,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
PIEDMONT PARK & EASTSIDE BELTLINE,46,25,21,5,3,12,8,6,6,2,4,0.0,2.22,7.0
PIEDMONT PARK EAST,12,7,5,2,2,4,2,1,0,0,1,0.0,0.0,5.0
STUDIOPLEX,5,3,2,0,0,3,2,0,0,0,0,0.0,0.0,3.0
KING OF POPS,16,6,10,2,0,0,5,4,1,0,4,0.0,10.28,8.0
GREENWOOD AVE BELTLINE,30,12,18,1,2,1,3,8,10,2,3,0.0,0.0,8.0
MARTA - ARTS CENTER ,5,2,3,0,2,1,1,0,0,1,0,0.0,0.0,3.0
ATKINS PARK,8,2,6,0,0,2,0,0,0,0,6,0.0,0.0,5.5
JACKSON & CHAMBERLAIN,6,2,4,0,1,0,1,2,0,0,2,0.0,0.0,8.0
RANDOLPH & EDGEWOOD,6,1,5,0,0,1,1,0,4,0,0,0.0,0.0,7.0
EDGEWOOD & EASTSIDE BELTLINE,4,1,3,0,0,0,0,0,3,1,0,0.0,0.0,8.0
5TH & ARGONNE,9,5,4,2,0,0,1,3,1,0,2,0.0,0.0,6.0
LITTLE FIVE POINTS,6,2,4,0,0,1,0,1,4,0,0,0.0,25.39,10.0
INMAN PARK,4,0,4,0,0,0,2,0,1,0,1,0.0,5.31,9.5
PARK & MEMORIAL,7,4,3,0,1,1,2,1,0,2,0,0.0,0.0,5.0
CHEROKEE & WOODWARD,4,2,2,2,0,0,1,0,1,0,0,0.0,0.0,5.0
VIRTUAL HUB - MILLTOWN,2,2,0,0,0,0,0,0,0,2,0,0.0,83.42,2.0
BUCKHEAD - TOWER PLACE,2,1,1,0,0,0,0,0,0,1,1,0.0,0.0,5.5
BUCKHEAD - PIEDMONT CENTER,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.5
MARTA - LENOX SQUARE,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.5
ATLANTIC STATION,2,1,1,0,0,0,0,1,1,0,0,0.0,0.0,7.0
MARTA - GARNETT,1,1,0,1,0,0,0,0,0,0,0,0.0,0.0,6.0
IRWIN & EASTSIDE BELTLINE ,37,15,22,4,2,1,9,6,7,4,4,0.0,12.82,7.0
Relay HQ (Deleted),0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL HUB - 329 NELSON ST (Special Event, Oct)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL HUB - 313 NELSON ST (Special Event, Oct)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL HUB - Two Wheel Valet/ABC Donation Hub - PRIDE (Special Event, Oct)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL  HUB - Two Wheel Valet/ABC Donation Hub (Special Event, Nov, Dec)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - DUNBAR REC CENTER,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL HUB - Two Wheel Valet/ABC Donation Hub - Taste of Atlanta (Special Event, Nov))",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
CASTLEBERRY HILL,0,0,0,0,0,0,0,0,0,0,0,0.0,33.41,8.5
"VIRTUAL HUB - Two Wheel Valet/ABC Donation Hub CHOMP AND STOMP (Special Event, Oct)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL HUB - FALCONS TAILGATE (Special Event, Nov)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL HUB - PATH PARKWAY (Special Event, Dec)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - PITTMAN REC CENTER,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - RDA SQUARE,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - MECHANICSVILLE LIBRARY,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - METROPOLITAN LIBRARY,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - GEORGIA HILL CENTER,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - GRANT PARK EAST,0,0,0,0,0,0,0,0,0,0,0,66.59,0.0,0.5
VIRTUAL HUB - NCR,1,0,1,0,0,0,0,0,0,0,1,98.71,0.0,0.5
