Name,Rentals total,Rentals out,Rentals in,00:00 - 11:00 out,00:00 - 11:00 in,11:00 - 15:00 out,11:00 - 15:00 in,15:00 - 19:00 out,15:00 - 19:00 in,19:00 - 23:59 out,19:00 - 23:59 in,Time low [%],Time full [%],Median bikes
VIRTUAL HUB - ATLANTA BICYCLE COALITION,5,2,3,0,1,1,2,1,0,0,0,39.5,0.0,1.0
VIRTUAL HUB - CANDLER PARK ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - BROWNWOOD PARK RECREATION CENTER,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
TWO WHEEL VALET-CARE WALK IN HER SHOES- VIRTUAL HUB,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
BROAD & MITCHELL,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
TECH SQUARE ,9,5,4,1,2,0,0,1,1,3,1,0.0,0.0,2.0
MARTA - KING MEMORIAL ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
OUTWRIGHT STATION,5,2,3,0,0,0,0,2,1,0,2,0.0,0.0,9.0
MARTA - PEACHTREE CENTER ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - WASHINGTON PARK ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - HYATT HOUSE ATLANTA,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - WASHINGTON PARK LIBRARY ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - GRADUATE LIVING CENTER,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
GEORGIA TECH - CLOUGH BUILDING,11,6,5,0,0,0,2,3,2,3,1,0.0,23.19,10.0
MARTA - MIDTOWN  (NORTH),5,2,3,0,1,0,0,1,1,1,1,0.0,0.0,3.0
VIRTUAL HUB - MARIETTA AND BOSS STREET NW ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - EAST ATLANTA VILLAGE,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - COAN PARK RECREATION CENTER ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB- TWO WHEEL VALET/ ATLANTA UNITED,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - KROGER/GLEENWOOD HUB ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
WOODRUFF PARK,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
GSU ARTS & HUMANITIES BLDG,3,1,2,1,0,0,1,0,1,0,0,0.0,0.0,7.0
GSU MARTA,10,4,6,0,3,2,1,2,2,0,0,0.0,0.0,5.0
SWEET AUBURN MARKET,4,2,2,0,0,2,2,0,0,0,0,0.0,0.0,0
NELSON ST BRIDGE,2,2,0,0,0,0,0,2,0,0,0,0.0,0.0,2.5
CITY HALL,2,1,1,0,1,1,0,0,0,0,0,0.0,100.0,11.5
VIRTUAL HUB - M. RICH CENTER,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
CENTENNIAL OLYMPIC PARK,6,2,4,0,1,0,0,2,3,0,0,0.0,0.0,6.5
FAIRLIE-POPLAR DISTRICT,1,0,1,0,0,0,0,0,1,0,0,0.0,0.0,6.0
PIEDMONT &  AUBURN,4,2,2,0,0,2,2,0,0,0,0,0.0,0.0,0
MARTA - NORTH AVE ,7,3,4,0,1,1,0,2,0,0,3,0.0,0.0,4.0
AUC - WOODRUFF LIBRARY,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,5.0
PIEDMONT PARK & EASTSIDE BELTLINE,9,3,6,0,1,2,4,1,1,0,0,0.0,1.48,9.0
PIEDMONT PARK EAST,0,0,0,0,0,0,0,0,0,0,0,0.0,100.0,0
STUDIOPLEX,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
KING OF POPS,3,1,2,1,0,0,0,0,2,0,0,0.0,53.71,10.0
GREENWOOD AVE BELTLINE,6,3,3,1,0,2,1,0,2,0,0,0.0,100.0,18.0
MARTA - ARTS CENTER ,4,1,3,0,2,1,1,0,0,0,0,0.0,0.0,6.5
ATKINS PARK,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
JACKSON & CHAMBERLAIN,1,0,1,0,0,0,1,0,0,0,0,0.0,0.0,0
RANDOLPH & EDGEWOOD,3,1,2,1,1,0,0,0,1,0,0,0.0,0.0,4.5
EDGEWOOD & EASTSIDE BELTLINE,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
5TH & ARGONNE,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
LITTLE FIVE POINTS,5,3,2,0,0,2,2,1,0,0,0,0.0,0.0,6.0
INMAN PARK,2,1,1,0,0,1,1,0,0,0,0,0.0,0.0,8.5
PARK & MEMORIAL,4,2,2,2,1,0,0,0,1,0,0,0.0,0.0,5.0
CHEROKEE & WOODWARD,10,5,5,0,0,0,0,5,5,0,0,0.0,0.0,5.0
VIRTUAL HUB - MILLTOWN,1,1,0,1,0,0,0,0,0,0,0,60.01,0.0,0.0
BUCKHEAD - TOWER PLACE,2,1,1,0,0,1,1,0,0,0,0,0.0,0.0,6.5
BUCKHEAD - PIEDMONT CENTER,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
MARTA - LENOX SQUARE,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
ATLANTIC STATION,2,1,1,0,1,0,0,1,0,0,0,0.0,0.0,4.5
MARTA - GARNETT,2,0,2,0,0,0,1,0,1,0,0,0.0,0.0,2.5
IRWIN & EASTSIDE BELTLINE ,7,4,3,0,0,2,1,1,2,1,0,0.0,0.0,6.0
Relay HQ (Deleted),0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL HUB - 329 NELSON ST (Special Event, Oct)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL HUB - 313 NELSON ST (Special Event, Oct)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL HUB - Two Wheel Valet/ABC Donation Hub - PRIDE (Special Event, Oct)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL  HUB - Two Wheel Valet/ABC Donation Hub (Special Event, Nov, Dec)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - DUNBAR REC CENTER,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
"VIRTUAL HUB - Two Wheel Valet/ABC Donation Hub - Taste of Atlanta (Special Event, Nov))",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
CASTLEBERRY HILL,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL HUB - Two Wheel Valet/ABC Donation Hub CHOMP AND STOMP (Special Event, Oct)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL HUB - FALCONS TAILGATE (Special Event, Nov)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL HUB - PATH PARKWAY (Special Event, Dec)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - PITTMAN REC CENTER,0,0,0,0,0,0,0,0,0,0,0,32.18,0.0,0.0
VIRTUAL HUB - RDA SQUARE,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - MECHANICSVILLE LIBRARY,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - METROPOLITAN LIBRARY,0,0,0,0,0,0,0,0,0,0,0,32.2,0.0,0.0
VIRTUAL HUB - GEORGIA HILL CENTER,0,0,0,0,0,0,0,0,0,0,0,70.76,0.0,0.0
VIRTUAL HUB - GRANT PARK EAST,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - NCR,1,0,1,0,0,0,0,0,1,0,0,94.4,0.0,0.5
VIRTUAL HUB - BLINKIES!,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - GLENWOOD PARK,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - EAST ATLANTA LIBRARY,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - HOSEA WILLIAMS AND WOODBINE ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - KIRKWOOD STATION,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - WHITEFORD AND WOODBINE,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
