Name,Rentals total,Rentals out,Rentals in,00:00 - 11:00 out,00:00 - 11:00 in,11:00 - 15:00 out,11:00 - 15:00 in,15:00 - 19:00 out,15:00 - 19:00 in,19:00 - 23:59 out,19:00 - 23:59 in,Time low [%],Time full [%],Median bikes
VIRTUAL HUB - ATLANTA BICYCLE COALITION,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - CANDLER PARK ,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - BROWNWOOD PARK RECREATION CENTER,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
TWO WHEEL VALET-CARE WALK IN HER SHOES- VIRTUAL HUB,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
BROAD & MITCHELL,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.0
TECH SQUARE ,3,1,2,0,0,1,2,0,0,0,0,53.21,0.0,1.0
MARTA - KING MEMORIAL ,2,2,0,0,0,0,0,2,0,0,0,0.0,0.0,4.0
OUTWRIGHT STATION,1,1,0,0,0,0,0,0,0,1,0,0.0,0.0,8.0
MARTA - PEACHTREE CENTER ,0,0,0,0,0,0,0,0,0,0,0,33.45,0.0,3.0
VIRTUAL HUB - WASHINGTON PARK ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - HYATT HOUSE ATLANTA,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - WASHINGTON PARK LIBRARY ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - GRADUATE LIVING CENTER,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
GEORGIA TECH - CLOUGH BUILDING,3,1,2,0,1,0,0,1,1,0,0,0.0,0.0,9.0
MARTA - MIDTOWN  (NORTH),4,1,3,0,0,0,0,1,2,0,1,70.96,0.0,1.0
VIRTUAL HUB - MARIETTA AND BOSS STREET NW ,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - EAST ATLANTA VILLAGE,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - COAN PARK RECREATION CENTER ,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB- TWO WHEEL VALET/ ATLANTA UNITED,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - KROGER/GLEENWOOD HUB ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
WOODRUFF PARK,1,0,1,0,0,0,0,0,1,0,0,0.0,0.0,2.0
GSU ARTS & HUMANITIES BLDG,7,3,4,0,1,2,2,0,0,1,1,0.0,0.0,5.0
GSU MARTA,6,4,2,2,1,0,0,1,0,1,1,0.0,0.0,2.0
SWEET AUBURN MARKET,1,0,1,0,0,0,0,0,1,0,0,0.0,0.0,3.0
NELSON ST BRIDGE,1,0,1,0,0,0,0,0,1,0,0,40.74,0.0,0.5
CITY HALL,1,0,1,0,1,0,0,0,0,0,0,0.0,100.0,11.0
VIRTUAL HUB - M. RICH CENTER,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
CENTENNIAL OLYMPIC PARK,5,2,3,0,3,0,0,2,0,0,0,0.0,0.0,9.0
FAIRLIE-POPLAR DISTRICT,3,2,1,0,0,0,0,2,1,0,0,0.0,0.0,1.5
PIEDMONT &  AUBURN,11,5,6,1,2,4,4,0,0,0,0,0.0,0.0,5.5
MARTA - NORTH AVE ,6,4,2,0,1,1,0,3,1,0,0,0.0,0.0,5.0
AUC - WOODRUFF LIBRARY,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
PIEDMONT PARK & EASTSIDE BELTLINE,8,5,3,0,0,2,1,2,0,1,2,0.0,100.0,15.0
PIEDMONT PARK EAST,7,4,3,0,0,3,3,1,0,0,0,0.0,0.0,8.5
STUDIOPLEX,4,0,4,0,0,0,4,0,0,0,0,0.0,51.68,9.5
