Name,Rentals total,Rentals out,Rentals in,00:00 - 11:00 out,00:00 - 11:00 in,11:00 - 15:00 out,11:00 - 15:00 in,15:00 - 19:00 out,15:00 - 19:00 in,19:00 - 23:59 out,19:00 - 23:59 in,Time low [%],Time full [%],Median bikes
VIRTUAL HUB - ATLANTA BICYCLE COALITION,9,4,5,1,1,1,1,2,3,0,0,9.9,0.0,1.0
VIRTUAL HUB - CANDLER PARK ,0,0,0,0,0,0,0,0,0,0,0,26.84,0.0,0.0
VIRTUAL HUB - BROWNWOOD PARK RECREATION CENTER,0,0,0,0,0,0,0,0,0,0,0,26.85,0.0,0.0
TWO WHEEL VALET-CARE WALK IN HER SHOES- VIRTUAL HUB,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
BROAD & MITCHELL,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
TECH SQUARE ,10,6,4,0,2,1,0,2,2,3,0,0.0,0.0,6.5
MARTA - KING MEMORIAL ,4,2,2,0,0,0,0,2,2,0,0,0.0,0.0,6.0
OUTWRIGHT STATION,19,8,11,0,0,1,1,7,5,0,5,0.0,0.0,11.0
MARTA - PEACHTREE CENTER ,1,0,1,0,0,0,1,0,0,0,0,0.0,0.0,5.5
VIRTUAL HUB - WASHINGTON PARK ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - HYATT HOUSE ATLANTA,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - WASHINGTON PARK LIBRARY ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - GRADUATE LIVING CENTER,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
GEORGIA TECH - CLOUGH BUILDING,17,9,8,1,4,3,2,3,0,2,2,0.0,25.35,8.0
MARTA - MIDTOWN  (NORTH),13,6,7,0,1,2,1,3,3,1,2,0.0,0.0,4.0
VIRTUAL HUB - MARIETTA AND BOSS STREET NW ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - EAST ATLANTA VILLAGE,0,0,0,0,0,0,0,0,0,0,0,26.82,0.0,0.0
VIRTUAL HUB - COAN PARK RECREATION CENTER ,0,0,0,0,0,0,0,0,0,0,0,26.83,0.0,0.0
VIRTUAL HUB- TWO WHEEL VALET/ ATLANTA UNITED,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - KROGER/GLEENWOOD HUB ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
WOODRUFF PARK,1,1,0,0,0,1,0,0,0,0,0,0.0,0.0,5.0
GSU ARTS & HUMANITIES BLDG,1,0,1,0,1,0,0,0,0,0,0,0.0,0.0,8.5
GSU MARTA,2,1,1,0,1,1,0,0,0,0,0,0.0,0.0,5.5
SWEET AUBURN MARKET,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
NELSON ST BRIDGE,2,1,1,0,0,0,0,1,0,0,1,0.0,0.0,5.0
CITY HALL,1,0,1,0,1,0,0,0,0,0,0,0.0,73.15,9.0
VIRTUAL HUB - M. RICH CENTER,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
CENTENNIAL OLYMPIC PARK,6,2,4,0,1,2,1,0,2,0,0,0.0,0.0,8.0
FAIRLIE-POPLAR DISTRICT,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,5.0
PIEDMONT &  AUBURN,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
MARTA - NORTH AVE ,9,4,5,0,1,1,1,1,1,2,2,0.0,0.0,4.0
AUC - WOODRUFF LIBRARY,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
PIEDMONT PARK & EASTSIDE BELTLINE,25,11,14,1,2,4,2,6,8,0,2,0.0,29.5,10.0
PIEDMONT PARK EAST,27,13,14,0,0,4,5,5,3,4,6,0.0,29.25,9.0
STUDIOPLEX,3,3,0,0,0,0,0,3,0,0,0,0.0,0.0,6.0
KING OF POPS,12,4,8,1,0,1,3,2,4,0,1,0.0,70.45,12.0
GREENWOOD AVE BELTLINE,32,15,17,3,2,3,4,8,10,1,1,0.0,41.2,10.0
MARTA - ARTS CENTER ,5,4,1,0,0,2,1,2,0,0,0,0.0,0.0,6.0
ATKINS PARK,1,1,0,0,0,0,0,0,0,1,0,0.0,0.0,4.0
JACKSON & CHAMBERLAIN,2,1,1,0,0,0,1,1,0,0,0,0.0,0.0,6.5
RANDOLPH & EDGEWOOD,1,1,0,0,0,1,0,0,0,0,0,0.0,0.0,6.0
EDGEWOOD & EASTSIDE BELTLINE,5,1,4,0,0,0,3,1,0,0,1,0.0,0.0,8.0
5TH & ARGONNE,4,2,2,0,0,0,0,1,2,1,0,0.0,0.0,5.0
LITTLE FIVE POINTS,9,5,4,2,0,1,0,2,2,0,2,0.0,0.0,3.0
INMAN PARK,6,3,3,0,0,0,0,3,3,0,0,0.0,0.0,7.5
PARK & MEMORIAL,2,1,1,1,0,0,1,0,0,0,0,0.0,0.0,5.5
CHEROKEE & WOODWARD,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - MILLTOWN,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
BUCKHEAD - TOWER PLACE,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,5.0
BUCKHEAD - PIEDMONT CENTER,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.0
MARTA - LENOX SQUARE,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.0
ATLANTIC STATION,3,1,2,0,0,0,0,0,1,1,1,0.0,0.0,5.0
MARTA - GARNETT,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,5.0
IRWIN & EASTSIDE BELTLINE ,29,12,17,0,0,3,4,7,11,2,2,0.0,3.06,8.0
Relay HQ (Deleted),0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL HUB - 329 NELSON ST (Special Event, Oct)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL HUB - 313 NELSON ST (Special Event, Oct)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL HUB - Two Wheel Valet/ABC Donation Hub - PRIDE (Special Event, Oct)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL  HUB - Two Wheel Valet/ABC Donation Hub (Special Event, Nov, Dec)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - DUNBAR REC CENTER,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
"VIRTUAL HUB - Two Wheel Valet/ABC Donation Hub - Taste of Atlanta (Special Event, Nov))",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
CASTLEBERRY HILL,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
