Name,Rentals total,Rentals out,Rentals in,00:00 - 11:00 out,00:00 - 11:00 in,11:00 - 15:00 out,11:00 - 15:00 in,15:00 - 19:00 out,15:00 - 19:00 in,19:00 - 23:59 out,19:00 - 23:59 in,Time low [%],Time full [%],Median bikes
VIRTUAL HUB - ATLANTA BICYCLE COALITION,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - CANDLER PARK ,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - BROWNWOOD PARK RECREATION CENTER,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
TWO WHEEL VALET-CARE WALK IN HER SHOES- VIRTUAL HUB,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
BROAD & MITCHELL,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
TECH SQUARE ,7,1,6,0,1,0,1,1,1,0,3,0.0,0.0,6.0
MARTA - KING MEMORIAL ,2,2,0,0,0,0,0,0,0,2,0,15.08,0.0,0.5
OUTWRIGHT STATION,27,11,16,1,1,3,2,7,11,0,2,0.0,0.0,10.0
MARTA - PEACHTREE CENTER ,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - WASHINGTON PARK ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - HYATT HOUSE ATLANTA,1,0,1,0,0,0,1,0,0,0,0,49.42,0.0,1.0
VIRTUAL HUB - WASHINGTON PARK LIBRARY ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - GRADUATE LIVING CENTER,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
GEORGIA TECH - CLOUGH BUILDING,8,3,5,0,0,0,1,3,4,0,0,0.0,0.0,8.5
MARTA - MIDTOWN  (NORTH),16,11,5,0,0,6,0,5,5,0,0,0.0,0.0,8.0
VIRTUAL HUB - MARIETTA AND BOSS STREET NW ,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - EAST ATLANTA VILLAGE,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - COAN PARK RECREATION CENTER ,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB- TWO WHEEL VALET/ ATLANTA UNITED,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - KROGER/GLEENWOOD HUB ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
WOODRUFF PARK,3,1,2,0,0,0,0,0,0,1,2,0.0,0.0,2.0
GSU ARTS & HUMANITIES BLDG,1,1,0,0,0,1,0,0,0,0,0,0.0,0.0,3.0
GSU MARTA,4,2,2,0,0,2,2,0,0,0,0,0.0,0.0,4.5
SWEET AUBURN MARKET,4,2,2,0,0,2,2,0,0,0,0,0.0,0.0,2.5
NELSON ST BRIDGE,1,1,0,0,0,1,0,0,0,0,0,0.0,0.0,1.0
CITY HALL,3,3,0,0,0,0,0,3,0,0,0,0.0,0.0,5.5
VIRTUAL HUB - M. RICH CENTER,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
CENTENNIAL OLYMPIC PARK,13,6,7,2,3,3,3,1,1,0,0,0.0,0.0,8.0
FAIRLIE-POPLAR DISTRICT,1,0,1,0,1,0,0,0,0,0,0,80.78,0.0,0.5
PIEDMONT &  AUBURN,10,6,4,0,1,4,2,1,0,1,1,0.0,0.0,5.0
MARTA - NORTH AVE ,14,8,6,1,1,5,1,2,0,0,4,0.0,0.0,4.0
AUC - WOODRUFF LIBRARY,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
PIEDMONT PARK & EASTSIDE BELTLINE,27,2,25,0,1,1,1,1,9,0,14,0.0,100.0,27.0
PIEDMONT PARK EAST,22,11,11,1,0,5,3,3,6,2,2,0.0,0.0,4.0
STUDIOPLEX,4,2,2,0,0,2,0,0,2,0,0,20.37,0.0,1.0
