Name,Rentals total,Rentals out,Rentals in,00:00 - 11:00 out,00:00 - 11:00 in,11:00 - 15:00 out,11:00 - 15:00 in,15:00 - 19:00 out,15:00 - 19:00 in,19:00 - 23:59 out,19:00 - 23:59 in,Time low [%],Time full [%],Median bikes
VIRTUAL HUB - ATLANTA BICYCLE COALITION,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - CANDLER PARK ,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - BROWNWOOD PARK RECREATION CENTER,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
TWO WHEEL VALET-CARE WALK IN HER SHOES- VIRTUAL HUB,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
BROAD & MITCHELL,1,0,1,0,1,0,0,0,0,0,0,0.0,0.0,2.0
TECH SQUARE ,20,7,13,2,0,3,5,1,5,1,3,0.0,0.0,8.0
MARTA - KING MEMORIAL ,1,0,1,0,0,0,0,0,1,0,0,0.0,0.0,7.0
OUTWRIGHT STATION,42,23,19,0,0,15,12,6,7,2,0,0.0,0.0,11.0
MARTA - PEACHTREE CENTER ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - WASHINGTON PARK ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - HYATT HOUSE ATLANTA,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - WASHINGTON PARK LIBRARY ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - GRADUATE LIVING CENTER,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
GEORGIA TECH - CLOUGH BUILDING,7,3,4,1,0,1,2,0,1,1,1,0.0,0.0,5.0
MARTA - MIDTOWN  (NORTH),20,8,12,1,0,2,4,5,7,0,1,4.24,0.0,3.0
VIRTUAL HUB - MARIETTA AND BOSS STREET NW ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - EAST ATLANTA VILLAGE,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - COAN PARK RECREATION CENTER ,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB- TWO WHEEL VALET/ ATLANTA UNITED,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - KROGER/GLEENWOOD HUB ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
WOODRUFF PARK,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
GSU ARTS & HUMANITIES BLDG,4,2,2,0,0,2,2,0,0,0,0,0.0,0.0,0
GSU MARTA,2,0,2,0,0,0,0,0,0,0,2,0.0,0.0,6.5
SWEET AUBURN MARKET,4,3,1,0,0,0,0,3,1,0,0,0.0,0.0,3.0
NELSON ST BRIDGE,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
CITY HALL,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - M. RICH CENTER,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
CENTENNIAL OLYMPIC PARK,19,11,8,0,1,5,1,2,2,4,4,0.0,0.0,12.0
FAIRLIE-POPLAR DISTRICT,4,1,3,0,1,0,1,0,0,1,1,0.0,0.0,7.0
PIEDMONT &  AUBURN,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,8.5
MARTA - NORTH AVE ,1,1,0,0,0,1,0,0,0,0,0,0.0,0.0,3.0
AUC - WOODRUFF LIBRARY,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
PIEDMONT PARK & EASTSIDE BELTLINE,94,51,43,3,3,22,15,17,20,9,5,0.0,54.54,7.0
PIEDMONT PARK EAST,55,30,25,3,0,17,14,10,11,0,0,0.0,11.52,9.0
STUDIOPLEX,5,4,1,0,0,4,0,0,1,0,0,0.0,0.0,2.0
KING OF POPS,16,8,8,2,0,3,5,0,1,3,2,0.0,40.79,11.0
GREENWOOD AVE BELTLINE,52,22,30,0,2,16,9,4,17,2,2,0.0,33.03,10.0
MARTA - ARTS CENTER ,14,8,6,3,0,4,5,1,0,0,1,0.0,0.0,3.0
ATKINS PARK,3,0,3,0,0,0,1,0,0,0,2,0.0,0.0,6.5
JACKSON & CHAMBERLAIN,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
RANDOLPH & EDGEWOOD,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
EDGEWOOD & EASTSIDE BELTLINE,23,15,8,3,1,5,2,7,3,0,2,0.0,0.0,5.0
5TH & ARGONNE,21,8,13,0,0,4,2,4,3,0,8,0.0,0.0,4.0
LITTLE FIVE POINTS,12,6,6,1,0,3,2,2,4,0,0,0.0,0.0,3.5
INMAN PARK,6,2,4,0,0,0,1,2,3,0,0,0.0,4.99,9.0
PARK & MEMORIAL,2,1,1,0,0,1,1,0,0,0,0,0.0,0.0,0
CHEROKEE & WOODWARD,3,2,1,0,0,2,1,0,0,0,0,0.0,0.0,5.0
VIRTUAL HUB - MILLTOWN,2,0,2,0,0,0,0,0,2,0,0,78.16,0.0,1.5
BUCKHEAD - TOWER PLACE,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
BUCKHEAD - PIEDMONT CENTER,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,5.0
MARTA - LENOX SQUARE,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
ATLANTIC STATION,3,1,2,0,0,0,1,1,0,0,1,0.0,0.0,6.0
MARTA - GARNETT,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
IRWIN & EASTSIDE BELTLINE ,54,30,24,5,0,11,15,10,5,4,4,0.0,4.02,7.0
Relay HQ (Deleted),0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL HUB - 329 NELSON ST (Special Event, Oct)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL HUB - 313 NELSON ST (Special Event, Oct)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL HUB - Two Wheel Valet/ABC Donation Hub - PRIDE (Special Event, Oct)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL  HUB - Two Wheel Valet/ABC Donation Hub (Special Event, Nov, Dec)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - DUNBAR REC CENTER,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
"VIRTUAL HUB - Two Wheel Valet/ABC Donation Hub - Taste of Atlanta (Special Event, Nov))",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
CASTLEBERRY HILL,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL HUB - Two Wheel Valet/ABC Donation Hub CHOMP AND STOMP (Special Event, Oct)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL HUB - FALCONS TAILGATE (Special Event, Nov)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL HUB - PATH PARKWAY (Special Event, Dec)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - PITTMAN REC CENTER,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - RDA SQUARE,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - MECHANICSVILLE LIBRARY,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - METROPOLITAN LIBRARY,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - GEORGIA HILL CENTER,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - GRANT PARK EAST,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - NCR,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
