Name,Rentals total,Rentals out,Rentals in,00:00 - 11:00 out,00:00 - 11:00 in,11:00 - 15:00 out,11:00 - 15:00 in,15:00 - 19:00 out,15:00 - 19:00 in,19:00 - 23:59 out,19:00 - 23:59 in,Time low [%],Time full [%],Median bikes
VIRTUAL HUB - ATLANTA BICYCLE COALITION,1,0,1,0,0,0,1,0,0,0,0,0.0,0.0,2.0
VIRTUAL HUB - CANDLER PARK ,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - BROWNWOOD PARK RECREATION CENTER,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
TWO WHEEL VALET-CARE WALK IN HER SHOES- VIRTUAL HUB,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
BROAD & MITCHELL,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
TECH SQUARE ,13,6,7,1,2,1,0,2,2,2,3,0.0,0.0,3.0
MARTA - KING MEMORIAL ,1,0,1,0,1,0,0,0,0,0,0,0.0,0.0,6.0
OUTWRIGHT STATION,9,5,4,2,3,2,1,1,0,0,0,0.0,0.0,7.0
MARTA - PEACHTREE CENTER ,2,1,1,0,0,0,0,1,1,0,0,17.43,0.0,1.0
VIRTUAL HUB - WASHINGTON PARK ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - HYATT HOUSE ATLANTA,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - WASHINGTON PARK LIBRARY ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - GRADUATE LIVING CENTER,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
GEORGIA TECH - CLOUGH BUILDING,27,11,16,0,5,0,6,10,2,1,3,0.0,69.86,11.0
MARTA - MIDTOWN  (NORTH),5,1,4,0,1,1,1,0,2,0,0,4.82,0.0,1.0
VIRTUAL HUB - MARIETTA AND BOSS STREET NW ,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - EAST ATLANTA VILLAGE,1,0,1,0,0,0,0,0,0,0,1,99.4,0.0,1.0
VIRTUAL HUB - COAN PARK RECREATION CENTER ,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB- TWO WHEEL VALET/ ATLANTA UNITED,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - KROGER/GLEENWOOD HUB ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
WOODRUFF PARK,6,4,2,0,0,2,0,2,2,0,0,0.0,0.0,2.0
GSU ARTS & HUMANITIES BLDG,2,1,1,0,0,0,0,0,1,1,0,0.0,0.0,2.5
GSU MARTA,5,2,3,0,2,0,0,1,1,1,0,0.0,0.0,4.5
SWEET AUBURN MARKET,5,2,3,1,1,1,1,0,1,0,0,0.0,0.0,4.0
NELSON ST BRIDGE,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0
CITY HALL,1,0,1,0,1,0,0,0,0,0,0,0.0,0.0,7.0
VIRTUAL HUB - M. RICH CENTER,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
CENTENNIAL OLYMPIC PARK,6,1,5,0,0,0,1,1,4,0,0,0.0,0.0,9.5
FAIRLIE-POPLAR DISTRICT,2,2,0,0,0,0,0,2,0,0,0,98.45,0.0,0.5
PIEDMONT &  AUBURN,2,1,1,1,1,0,0,0,0,0,0,0.0,0.0,3.0
MARTA - NORTH AVE ,3,2,1,1,1,1,0,0,0,0,0,0.0,0.0,3.0
AUC - WOODRUFF LIBRARY,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
PIEDMONT PARK & EASTSIDE BELTLINE,44,23,21,3,6,5,1,15,13,0,1,0.0,73.99,13.0
PIEDMONT PARK EAST,11,6,5,1,1,0,0,5,4,0,0,0.0,0.0,6.0
STUDIOPLEX,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
KING OF POPS,13,5,8,2,0,0,1,1,1,2,6,0.0,4.55,8.5
GREENWOOD AVE BELTLINE,31,15,16,2,0,5,5,6,9,2,2,0.0,0.0,5.0
MARTA - ARTS CENTER ,4,3,1,0,1,1,0,2,0,0,0,0.0,0.0,4.0
ATKINS PARK,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
JACKSON & CHAMBERLAIN,1,0,1,0,0,0,0,0,1,0,0,0.0,0.0,6.0
RANDOLPH & EDGEWOOD,1,0,1,0,0,0,0,0,1,0,0,0.0,0.0,6.0
EDGEWOOD & EASTSIDE BELTLINE,1,0,1,0,0,0,0,0,1,0,0,0.0,0.0,5.0
5TH & ARGONNE,2,1,1,1,0,0,0,0,1,0,0,0.0,0.0,8.0
LITTLE FIVE POINTS,3,1,2,0,0,0,0,1,0,0,2,0.0,0.0,9.0
INMAN PARK,2,1,1,0,0,0,0,1,0,0,1,0.0,0.0,6.5
PARK & MEMORIAL,4,2,2,1,1,0,0,0,1,1,0,0.0,0.0,4.0
CHEROKEE & WOODWARD,2,1,1,0,0,0,1,1,0,0,0,0.0,0.0,4.5
VIRTUAL HUB - MILLTOWN,2,1,1,0,0,0,0,1,0,0,1,0.0,95.85,2.5
BUCKHEAD - TOWER PLACE,2,1,1,1,1,0,0,0,0,0,0,0.0,0.0,6.0
BUCKHEAD - PIEDMONT CENTER,3,3,0,3,0,0,0,0,0,0,0,0.0,0.0,2.5
MARTA - LENOX SQUARE,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
ATLANTIC STATION,2,0,2,0,0,0,2,0,0,0,0,0.0,0.0,7.5
MARTA - GARNETT,2,0,2,0,1,0,0,0,1,0,0,0.0,0.0,7.0
IRWIN & EASTSIDE BELTLINE ,23,11,12,5,0,0,5,5,6,1,1,0.0,0.0,6.0
Relay HQ (Deleted),0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL HUB - 329 NELSON ST (Special Event, Oct)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
