Name,Rentals total,Rentals out,Rentals in,00:00 - 11:00 out,00:00 - 11:00 in,11:00 - 15:00 out,11:00 - 15:00 in,15:00 - 19:00 out,15:00 - 19:00 in,19:00 - 23:59 out,19:00 - 23:59 in,Time low [%],Time full [%],Median bikes
VIRTUAL HUB - ATLANTA BICYCLE COALITION,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - CANDLER PARK ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - BROWNWOOD PARK RECREATION CENTER,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
TWO WHEEL VALET-CARE WALK IN HER SHOES- VIRTUAL HUB,0,0,0,0,0,0,0,0,0,0,0,17.49,0.0,0
BROAD & MITCHELL,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
TECH SQUARE ,8,4,4,0,3,1,0,3,1,0,0,0.0,0.0,4.0
MARTA - KING MEMORIAL ,3,2,1,2,0,0,0,0,1,0,0,0.0,0.0,4.0
OUTWRIGHT STATION,2,2,0,0,0,1,0,1,0,0,0,0.0,0.0,7.5
MARTA - PEACHTREE CENTER ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,5.0
VIRTUAL HUB - WASHINGTON PARK ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - HYATT HOUSE ATLANTA,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - WASHINGTON PARK LIBRARY ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - GRADUATE LIVING CENTER,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
GEORGIA TECH - CLOUGH BUILDING,15,5,10,0,7,0,2,2,1,3,0,5.45,0.0,6.5
MARTA - MIDTOWN  (NORTH),0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - MARIETTA AND BOSS STREET NW ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - EAST ATLANTA VILLAGE,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - COAN PARK RECREATION CENTER ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB- TWO WHEEL VALET/ ATLANTA UNITED,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - KROGER/GLEENWOOD HUB ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
WOODRUFF PARK,2,0,2,0,0,0,0,0,2,0,0,0.0,0.0,6.5
GSU ARTS & HUMANITIES BLDG,1,1,0,0,0,1,0,0,0,0,0,0.0,0.0,6.5
GSU MARTA,3,2,1,0,0,0,1,2,0,0,0,0.0,0.0,4.0
SWEET AUBURN MARKET,1,0,1,0,1,0,0,0,0,0,0,0.0,0.0,5.0
NELSON ST BRIDGE,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
CITY HALL,2,0,2,0,1,0,1,0,0,0,0,0.0,76.64,9.5
VIRTUAL HUB - M. RICH CENTER,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
CENTENNIAL OLYMPIC PARK,3,2,1,0,1,0,0,2,0,0,0,0.0,0.0,7.0
FAIRLIE-POPLAR DISTRICT,3,1,2,0,2,1,0,0,0,0,0,0.0,0.0,2.0
PIEDMONT &  AUBURN,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
MARTA - NORTH AVE ,6,3,3,2,1,0,0,1,1,0,1,0.0,0.0,3.0
AUC - WOODRUFF LIBRARY,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
PIEDMONT PARK & EASTSIDE BELTLINE,24,8,16,0,0,1,2,5,9,2,5,0.0,100.0,14.0
PIEDMONT PARK EAST,9,5,4,0,0,5,2,0,1,0,1,0.0,57.58,9.0
STUDIOPLEX,4,2,2,0,1,0,0,2,1,0,0,0.0,0.0,9.0
KING OF POPS,17,7,10,1,1,4,3,2,6,0,0,0.0,0.0,6.5
GREENWOOD AVE BELTLINE,20,4,16,0,0,0,4,4,12,0,0,0.0,100.0,17.0
MARTA - ARTS CENTER ,3,1,2,0,1,0,0,1,0,0,1,62.46,0.0,0.5
ATKINS PARK,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
JACKSON & CHAMBERLAIN,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
RANDOLPH & EDGEWOOD,1,0,1,0,0,0,0,0,1,0,0,71.17,0.0,1.0
EDGEWOOD & EASTSIDE BELTLINE,7,5,2,1,0,3,1,0,0,1,1,0.0,0.0,8.0
5TH & ARGONNE,3,1,2,0,0,1,0,0,2,0,0,0.0,0.0,3.0
LITTLE FIVE POINTS,2,1,1,1,0,0,1,0,0,0,0,0.0,48.9,10.0
INMAN PARK,2,0,2,0,0,0,0,0,2,0,0,0.0,29.3,9.0
PARK & MEMORIAL,1,0,1,0,0,0,0,0,1,0,0,0.0,0.0,2.0
CHEROKEE & WOODWARD,2,1,1,0,1,1,0,0,0,0,0,0.0,0.0,1.5
VIRTUAL HUB - MILLTOWN,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
BUCKHEAD - TOWER PLACE,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
BUCKHEAD - PIEDMONT CENTER,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
MARTA - LENOX SQUARE,2,1,1,0,0,1,1,0,0,0,0,0.0,0.0,0
ATLANTIC STATION,2,1,1,0,0,1,1,0,0,0,0,0.0,0.0,0
MARTA - GARNETT,2,2,0,1,0,1,0,0,0,0,0,0.0,0.0,3.5
IRWIN & EASTSIDE BELTLINE ,25,15,10,1,1,5,1,6,8,3,0,0.0,70.89,10.0
Relay HQ (Deleted),0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL HUB - 329 NELSON ST (Special Event, Oct)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL HUB - 313 NELSON ST (Special Event, Oct)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL HUB - Two Wheel Valet/ABC Donation Hub - PRIDE (Special Event, Oct)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL  HUB - Two Wheel Valet/ABC Donation Hub (Special Event, Nov, Dec)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - DUNBAR REC CENTER,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
"VIRTUAL HUB - Two Wheel Valet/ABC Donation Hub - Taste of Atlanta (Special Event, Nov))",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
CASTLEBERRY HILL,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL HUB - Two Wheel Valet/ABC Donation Hub CHOMP AND STOMP (Special Event, Oct)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL HUB - FALCONS TAILGATE (Special Event, Nov)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL HUB - PATH PARKWAY (Special Event, Dec)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - PITTMAN REC CENTER,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - RDA SQUARE,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
