Name,Rentals total,Rentals out,Rentals in,00:00 - 11:00 out,00:00 - 11:00 in,11:00 - 15:00 out,11:00 - 15:00 in,15:00 - 19:00 out,15:00 - 19:00 in,19:00 - 23:59 out,19:00 - 23:59 in,Time low [%],Time full [%],Median bikes
VIRTUAL HUB - ATLANTA BICYCLE COALITION,2,0,2,0,0,0,0,0,2,0,0,75.96,0.0,1.5
VIRTUAL HUB - CANDLER PARK ,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - BROWNWOOD PARK RECREATION CENTER,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
TWO WHEEL VALET-CARE WALK IN HER SHOES- VIRTUAL HUB,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
BROAD & MITCHELL,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
TECH SQUARE ,15,8,7,1,1,3,0,2,4,2,2,4.33,0.0,2.0
MARTA - KING MEMORIAL ,2,0,2,0,1,0,0,0,1,0,0,0.0,0.0,5.5
OUTWRIGHT STATION,30,15,15,2,0,9,8,4,3,0,4,11.33,0.0,4.0
MARTA - PEACHTREE CENTER ,5,4,1,0,0,0,0,4,1,0,0,0.0,0.0,5.0
VIRTUAL HUB - WASHINGTON PARK ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - HYATT HOUSE ATLANTA,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - WASHINGTON PARK LIBRARY ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - GRADUATE LIVING CENTER,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
GEORGIA TECH - CLOUGH BUILDING,22,11,11,0,3,4,7,4,0,3,1,0.0,31.79,13.0
MARTA - MIDTOWN  (NORTH),13,8,5,0,0,3,0,1,2,4,3,88.33,0.0,2.0
VIRTUAL HUB - MARIETTA AND BOSS STREET NW ,2,1,1,0,0,0,0,1,1,0,0,24.82,0.0,0.5
VIRTUAL HUB - EAST ATLANTA VILLAGE,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - COAN PARK RECREATION CENTER ,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB- TWO WHEEL VALET/ ATLANTA UNITED,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - KROGER/GLEENWOOD HUB ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
WOODRUFF PARK,13,7,6,0,0,2,1,5,0,0,5,0.0,0.0,5.0
GSU ARTS & HUMANITIES BLDG,3,3,0,0,0,3,0,0,0,0,0,0.0,0.0,7.0
GSU MARTA,7,2,5,0,2,2,0,0,3,0,0,0.0,0.0,3.0
SWEET AUBURN MARKET,4,1,3,0,0,1,3,0,0,0,0,50.55,0.0,2.0
NELSON ST BRIDGE,2,2,0,0,0,1,0,1,0,0,0,0.0,0.0,2.5
CITY HALL,2,0,2,0,2,0,0,0,0,0,0,0.0,77.26,9.5
VIRTUAL HUB - M. RICH CENTER,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
CENTENNIAL OLYMPIC PARK,23,4,19,2,1,0,2,2,15,0,1,0.0,36.66,18.0
FAIRLIE-POPLAR DISTRICT,6,3,3,0,2,0,0,2,1,1,0,0.0,0.0,7.0
PIEDMONT &  AUBURN,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
MARTA - NORTH AVE ,1,0,1,0,0,0,0,0,1,0,0,0.0,0.0,7.5
AUC - WOODRUFF LIBRARY,1,0,1,0,1,0,0,0,0,0,0,0.0,0.0,5.0
PIEDMONT PARK & EASTSIDE BELTLINE,64,34,30,2,4,17,4,8,11,7,11,0.0,52.44,7.5
PIEDMONT PARK EAST,52,29,23,3,3,4,2,22,16,0,2,0.0,61.74,9.5
STUDIOPLEX,11,7,4,0,0,3,2,4,2,0,0,0.0,0.0,4.0
KING OF POPS,38,20,18,4,0,2,6,8,9,6,3,0.0,8.0,9.0
GREENWOOD AVE BELTLINE,87,42,45,3,0,12,10,11,15,16,20,0.0,100.0,15.0
MARTA - ARTS CENTER ,8,3,5,0,3,0,1,3,1,0,0,39.88,0.0,2.0
ATKINS PARK,2,2,0,0,0,0,0,2,0,0,0,0.0,0.0,2.5
JACKSON & CHAMBERLAIN,6,3,3,1,0,2,1,0,2,0,0,0.0,0.0,7.5
RANDOLPH & EDGEWOOD,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
EDGEWOOD & EASTSIDE BELTLINE,3,3,0,1,0,0,0,1,0,1,0,0.0,0.0,2.5
5TH & ARGONNE,3,1,2,1,0,0,0,0,1,0,1,0.0,0.0,7.0
LITTLE FIVE POINTS,8,4,4,1,0,1,1,2,3,0,0,0.0,0.0,5.0
INMAN PARK,4,1,3,0,0,0,2,0,1,1,0,0.0,27.63,10.0
PARK & MEMORIAL,4,3,1,0,0,1,1,0,0,2,0,0.0,0.0,6.0
CHEROKEE & WOODWARD,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - MILLTOWN,3,0,3,0,0,0,1,0,0,0,2,0.0,16.75,3.0
BUCKHEAD - TOWER PLACE,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
BUCKHEAD - PIEDMONT CENTER,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
MARTA - LENOX SQUARE,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
ATLANTIC STATION,12,6,6,1,0,3,5,0,0,2,1,0.0,0.0,6.0
MARTA - GARNETT,1,1,0,1,0,0,0,0,0,0,0,0.0,0.0,5.0
IRWIN & EASTSIDE BELTLINE ,76,35,41,0,0,8,13,20,21,7,7,0.0,39.26,12.0
Relay HQ (Deleted),0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL HUB - 329 NELSON ST (Special Event, Oct)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL HUB - 313 NELSON ST (Special Event, Oct)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL HUB - Two Wheel Valet/ABC Donation Hub - PRIDE (Special Event, Oct)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL  HUB - Two Wheel Valet/ABC Donation Hub (Special Event, Nov, Dec)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - DUNBAR REC CENTER,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
"VIRTUAL HUB - Two Wheel Valet/ABC Donation Hub - Taste of Atlanta (Special Event, Nov))",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
CASTLEBERRY HILL,1,0,1,0,0,0,0,0,1,0,0,0.0,0.0,10.0
"VIRTUAL HUB - Two Wheel Valet/ABC Donation Hub CHOMP AND STOMP (Special Event, Oct)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL HUB - FALCONS TAILGATE (Special Event, Nov)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL HUB - PATH PARKWAY (Special Event, Dec)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - PITTMAN REC CENTER,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - RDA SQUARE,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - MECHANICSVILLE LIBRARY,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - METROPOLITAN LIBRARY,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - GEORGIA HILL CENTER,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - GRANT PARK EAST,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - NCR,1,1,0,0,0,0,0,1,0,0,0,29.81,0.0,0.0
VIRTUAL HUB - BLINKIES!,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - GLENWOOD PARK,1,0,1,0,0,0,0,0,0,0,1,0.0,0.0,3.0
VIRTUAL HUB - EAST ATLANTA LIBRARY,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - HOSEA WILLIAMS AND WOODBINE ,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - KIRKWOOD STATION,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - WHITEFORD AND WOODBINE,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - KIRKWOOD TRIANGLE,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - CANDLER PARK MARKET,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - HODGEPODGE COFFEE ,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - ORMEWOOD PARK ,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - GOLDSBORO PARK,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - CABBAGETOWN PARK,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB-MANUAL'S TAVERN-TWO WHEEL TUESDAY (Special Event Feb 20) ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - VORTEX MIDTOWN,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - HIGH MUSEUM ,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
