Name,Rentals total,Rentals out,Rentals in,00:00 - 11:00 out,00:00 - 11:00 in,11:00 - 15:00 out,11:00 - 15:00 in,15:00 - 19:00 out,15:00 - 19:00 in,19:00 - 23:59 out,19:00 - 23:59 in,Time low [%],Time full [%],Median bikes
VIRTUAL HUB - ATLANTA BICYCLE COALITION,9,5,4,2,0,3,4,0,0,0,0,0.0,66.56,4.0
VIRTUAL HUB - CANDLER PARK ,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - BROWNWOOD PARK RECREATION CENTER,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
TWO WHEEL VALET-CARE WALK IN HER SHOES- VIRTUAL HUB,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
BROAD & MITCHELL,2,0,2,0,0,0,0,0,0,0,2,0.0,0.0,3.5
TECH SQUARE ,11,4,7,0,1,0,1,2,2,2,3,0.0,0.0,2.0
MARTA - KING MEMORIAL ,2,2,0,1,0,1,0,0,0,0,0,0.0,0.0,4.5
OUTWRIGHT STATION,26,12,14,3,0,0,0,2,10,7,4,0.0,0.0,6.0
MARTA - PEACHTREE CENTER ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - WASHINGTON PARK ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - HYATT HOUSE ATLANTA,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - WASHINGTON PARK LIBRARY ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - GRADUATE LIVING CENTER,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
GEORGIA TECH - CLOUGH BUILDING,13,5,8,0,2,0,0,4,3,1,3,0.0,0.0,6.5
MARTA - MIDTOWN  (NORTH),6,0,6,0,0,0,0,0,4,0,2,73.03,0.0,3.5
VIRTUAL HUB - MARIETTA AND BOSS STREET NW ,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - EAST ATLANTA VILLAGE,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - COAN PARK RECREATION CENTER ,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB- TWO WHEEL VALET/ ATLANTA UNITED,0,0,0,0,0,0,0,0,0,0,0,39.17,0.0,0.0
VIRTUAL HUB - KROGER/GLEENWOOD HUB ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
WOODRUFF PARK,1,1,0,0,0,0,0,0,0,1,0,0.0,0.0,4.0
GSU ARTS & HUMANITIES BLDG,1,1,0,0,0,0,0,1,0,0,0,0.0,0.0,5.0
GSU MARTA,4,2,2,0,0,0,0,0,0,2,2,0.0,0.0,4.0
SWEET AUBURN MARKET,6,3,3,0,0,0,0,0,0,3,3,3.97,0.0,1.0
NELSON ST BRIDGE,1,1,0,0,0,0,0,0,0,1,0,0.0,0.0,1.0
CITY HALL,0,0,0,0,0,0,0,0,0,0,0,0.0,100.0,0
VIRTUAL HUB - M. RICH CENTER,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
CENTENNIAL OLYMPIC PARK,11,8,3,0,0,1,1,4,2,3,0,0.0,100.0,22.0
FAIRLIE-POPLAR DISTRICT,3,3,0,0,0,2,0,0,0,1,0,0.0,0.0,2.5
PIEDMONT &  AUBURN,2,2,0,0,0,0,0,2,0,0,0,0.0,0.0,8.5
MARTA - NORTH AVE ,1,1,0,1,0,0,0,0,0,0,0,0.0,0.0,5.5
AUC - WOODRUFF LIBRARY,1,1,0,1,0,0,0,0,0,0,0,0.0,0.0,4.0
PIEDMONT PARK & EASTSIDE BELTLINE,66,34,32,0,2,7,6,24,16,3,8,0.0,34.96,12.0
PIEDMONT PARK EAST,25,12,13,0,1,2,1,9,6,1,5,0.0,0.0,6.0
STUDIOPLEX,5,5,0,0,0,0,0,5,0,0,0,0.0,0.0,3.0
KING OF POPS,32,16,16,1,1,1,2,12,9,2,4,0.0,10.81,9.5
GREENWOOD AVE BELTLINE,68,36,32,1,0,7,10,23,16,5,6,0.0,73.57,11.0
MARTA - ARTS CENTER ,1,1,0,1,0,0,0,0,0,0,0,0.0,0.0,1.0
ATKINS PARK,4,1,3,0,0,0,0,1,3,0,0,0.0,0.0,3.5
JACKSON & CHAMBERLAIN,2,2,0,0,0,0,0,0,0,2,0,0.0,0.0,7.0
RANDOLPH & EDGEWOOD,5,4,1,0,0,1,1,3,0,0,0,0.0,0.0,6.0
EDGEWOOD & EASTSIDE BELTLINE,19,7,12,0,0,0,1,5,9,2,2,0.0,0.0,7.5
5TH & ARGONNE,12,6,6,1,0,0,0,5,5,0,1,0.0,0.0,5.5
LITTLE FIVE POINTS,11,4,7,2,0,0,0,1,5,1,2,0.0,0.0,5.0
INMAN PARK,8,4,4,1,1,0,0,3,2,0,1,0.0,5.8,10.0
PARK & MEMORIAL,1,1,0,0,0,0,0,0,0,1,0,0.0,0.0,3.0
CHEROKEE & WOODWARD,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - MILLTOWN,0,0,0,0,0,0,0,0,0,0,0,0.0,60.83,2.0
BUCKHEAD - TOWER PLACE,2,1,1,0,0,0,0,1,1,0,0,0.0,0.0,3.5
BUCKHEAD - PIEDMONT CENTER,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
MARTA - LENOX SQUARE,2,1,1,0,0,0,0,1,1,0,0,0.0,0.0,2.5
ATLANTIC STATION,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
MARTA - GARNETT,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
IRWIN & EASTSIDE BELTLINE ,69,31,38,0,2,12,9,9,14,10,13,0.0,69.38,11.0
