Name,Rentals total,Rentals out,Rentals in,00:00 - 11:00 out,00:00 - 11:00 in,11:00 - 15:00 out,11:00 - 15:00 in,15:00 - 19:00 out,15:00 - 19:00 in,19:00 - 23:59 out,19:00 - 23:59 in,Time low [%],Time full [%],Median bikes
VIRTUAL HUB - ATLANTA BICYCLE COALITION,2,0,2,0,0,0,0,0,2,0,0,73.75,0.0,1.5
VIRTUAL HUB - CANDLER PARK ,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - BROWNWOOD PARK RECREATION CENTER,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
TWO WHEEL VALET-CARE WALK IN HER SHOES- VIRTUAL HUB,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
BROAD & MITCHELL,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
TECH SQUARE ,7,3,4,0,0,0,2,3,2,0,0,0.0,0.0,11.0
MARTA - KING MEMORIAL ,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
OUTWRIGHT STATION,3,1,2,0,0,0,1,1,0,0,1,0.0,0.0,9.5
MARTA - PEACHTREE CENTER ,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - WASHINGTON PARK ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - HYATT HOUSE ATLANTA,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - WASHINGTON PARK LIBRARY ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - GRADUATE LIVING CENTER,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
GEORGIA TECH - CLOUGH BUILDING,6,1,5,0,0,0,0,1,3,0,2,0.0,15.56,10.0
MARTA - MIDTOWN  (NORTH),2,1,1,1,0,0,0,0,1,0,0,0.0,0.0,2.5
VIRTUAL HUB - MARIETTA AND BOSS STREET NW ,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - EAST ATLANTA VILLAGE,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - COAN PARK RECREATION CENTER ,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB- TWO WHEEL VALET/ ATLANTA UNITED,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - KROGER/GLEENWOOD HUB ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
WOODRUFF PARK,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
GSU ARTS & HUMANITIES BLDG,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
GSU MARTA,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
SWEET AUBURN MARKET,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
NELSON ST BRIDGE,2,1,1,0,0,1,1,0,0,0,0,0.0,0.0,4.0
CITY HALL,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - M. RICH CENTER,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
CENTENNIAL OLYMPIC PARK,1,1,0,0,0,1,0,0,0,0,0,0.0,0.0,6.0
FAIRLIE-POPLAR DISTRICT,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
PIEDMONT &  AUBURN,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
MARTA - NORTH AVE ,1,1,0,0,0,0,0,0,0,1,0,0.0,0.0,4.0
AUC - WOODRUFF LIBRARY,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
PIEDMONT PARK & EASTSIDE BELTLINE,5,2,3,0,0,0,0,1,1,1,2,0.0,100.0,32.0
PIEDMONT PARK EAST,11,5,6,0,0,1,1,2,3,2,2,0.0,0.0,5.0
STUDIOPLEX,2,2,0,0,0,0,0,2,0,0,0,8.32,0.0,0.5
KING OF POPS,0,0,0,0,0,0,0,0,0,0,0,0.0,33.39,11.0
GREENWOOD AVE BELTLINE,11,5,6,0,1,1,1,2,4,2,0,0.0,0.0,6.0
MARTA - ARTS CENTER ,5,3,2,0,0,1,0,0,0,2,2,0.0,0.0,3.0
ATKINS PARK,4,3,1,0,0,0,0,1,1,2,0,0.0,0.0,3.5
JACKSON & CHAMBERLAIN,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
RANDOLPH & EDGEWOOD,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
EDGEWOOD & EASTSIDE BELTLINE,1,1,0,1,0,0,0,0,0,0,0,0.0,0.0,2.0
5TH & ARGONNE,2,1,1,0,0,0,0,1,1,0,0,0.0,0.0,0
LITTLE FIVE POINTS,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
