Name,Rentals total,Rentals out,Rentals in,00:00 - 11:00 out,00:00 - 11:00 in,11:00 - 15:00 out,11:00 - 15:00 in,15:00 - 19:00 out,15:00 - 19:00 in,19:00 - 23:59 out,19:00 - 23:59 in,Time low [%],Time full [%],Median bikes
VIRTUAL HUB - ATLANTA BICYCLE COALITION,0,0,0,0,0,0,0,0,0,0,0,0.0,100.0,0
VIRTUAL HUB - CANDLER PARK ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - BROWNWOOD PARK RECREATION CENTER,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
TWO WHEEL VALET-CARE WALK IN HER SHOES- VIRTUAL HUB,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
BROAD & MITCHELL,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
TECH SQUARE ,16,8,8,0,2,3,2,4,4,1,0,0.0,0.0,5.0
MARTA - KING MEMORIAL ,7,4,3,3,3,0,0,1,0,0,0,0.0,0.0,5.0
OUTWRIGHT STATION,7,4,3,0,1,0,0,3,1,1,1,0.0,0.0,5.0
MARTA - PEACHTREE CENTER ,2,1,1,0,0,1,1,0,0,0,0,0.0,0.0,9.0
VIRTUAL HUB - WASHINGTON PARK ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - HYATT HOUSE ATLANTA,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - WASHINGTON PARK LIBRARY ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - GRADUATE LIVING CENTER,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
GEORGIA TECH - CLOUGH BUILDING,21,8,13,0,3,1,6,7,3,0,1,0.0,7.99,9.0
MARTA - MIDTOWN  (NORTH),12,5,7,0,0,3,3,2,3,0,1,0.0,0.0,8.0
VIRTUAL HUB - MARIETTA AND BOSS STREET NW ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - EAST ATLANTA VILLAGE,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - COAN PARK RECREATION CENTER ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB- TWO WHEEL VALET/ ATLANTA UNITED,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - KROGER/GLEENWOOD HUB ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
WOODRUFF PARK,2,1,1,0,0,0,1,1,0,0,0,0.0,0.0,2.5
GSU ARTS & HUMANITIES BLDG,1,1,0,0,0,0,0,1,0,0,0,0.0,0.0,0
GSU MARTA,5,2,3,0,1,1,1,1,1,0,0,0.0,0.0,2.0
SWEET AUBURN MARKET,5,3,2,0,0,0,0,3,2,0,0,28.3,0.0,2.0
NELSON ST BRIDGE,3,2,1,1,0,0,0,0,1,1,0,0.0,0.0,5.0
CITY HALL,3,1,2,0,2,1,0,0,0,0,0,0.0,13.18,8.0
VIRTUAL HUB - M. RICH CENTER,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
CENTENNIAL OLYMPIC PARK,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
FAIRLIE-POPLAR DISTRICT,1,1,0,0,0,1,0,0,0,0,0,0.0,0.0,5.0
PIEDMONT &  AUBURN,7,3,4,1,1,2,2,0,0,0,1,0.0,0.0,6.0
MARTA - NORTH AVE ,4,1,3,0,0,1,1,0,2,0,0,0.0,94.33,11.0
AUC - WOODRUFF LIBRARY,4,2,2,0,0,0,0,1,1,1,1,0.0,0.0,6.5
PIEDMONT PARK & EASTSIDE BELTLINE,28,17,11,2,0,3,3,9,5,3,3,0.0,0.0,6.0
PIEDMONT PARK EAST,17,8,9,2,2,6,2,0,5,0,0,0.0,0.0,4.0
STUDIOPLEX,3,1,2,0,1,1,0,0,1,0,0,0.0,0.0,8.0
KING OF POPS,12,6,6,1,0,3,3,2,2,0,1,0.0,90.5,10.5
GREENWOOD AVE BELTLINE,22,13,9,1,0,4,0,8,9,0,0,0.0,0.0,5.0
MARTA - ARTS CENTER ,9,5,4,0,1,2,2,3,0,0,1,0.0,17.02,10.5
ATKINS PARK,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
JACKSON & CHAMBERLAIN,2,1,1,0,0,0,0,1,1,0,0,0.0,0.0,0
RANDOLPH & EDGEWOOD,2,1,1,0,0,1,0,0,1,0,0,0.0,0.0,4.5
EDGEWOOD & EASTSIDE BELTLINE,3,2,1,1,0,0,1,1,0,0,0,0.0,0.0,4.5
5TH & ARGONNE,6,4,2,3,0,0,0,0,2,1,0,0.0,0.0,7.0
LITTLE FIVE POINTS,7,4,3,3,0,1,1,0,0,0,2,0.0,0.0,7.0
INMAN PARK,2,0,2,0,0,0,0,0,2,0,0,0.0,36.62,11.5
PARK & MEMORIAL,3,2,1,1,0,1,0,0,0,0,1,0.0,0.0,4.0
CHEROKEE & WOODWARD,1,1,0,0,0,0,0,1,0,0,0,0.0,0.0,1.0
VIRTUAL HUB - MILLTOWN,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
BUCKHEAD - TOWER PLACE,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,8.0
BUCKHEAD - PIEDMONT CENTER,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
MARTA - LENOX SQUARE,1,1,0,0,0,0,0,1,0,0,0,0.0,0.0,3.0
ATLANTIC STATION,5,2,3,0,0,1,1,0,2,1,0,0.0,18.01,10.0
