Name,Rentals total,Rentals out,Rentals in,00:00 - 11:00 out,00:00 - 11:00 in,11:00 - 15:00 out,11:00 - 15:00 in,15:00 - 19:00 out,15:00 - 19:00 in,19:00 - 23:59 out,19:00 - 23:59 in,Time low [%],Time full [%],Median bikes
VIRTUAL HUB - ATLANTA BICYCLE COALITION,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - CANDLER PARK ,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - BROWNWOOD PARK RECREATION CENTER,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
TWO WHEEL VALET-CARE WALK IN HER SHOES- VIRTUAL HUB,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
BROAD & MITCHELL,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
TECH SQUARE ,16,10,6,1,1,3,2,4,2,2,1,0.0,0.0,7.0
MARTA - KING MEMORIAL ,9,6,3,0,2,1,0,4,0,1,1,0.0,0.0,6.0
OUTWRIGHT STATION,22,12,10,1,0,0,1,9,6,2,3,2.13,0.0,3.0
MARTA - PEACHTREE CENTER ,18,7,11,2,1,5,9,0,0,0,1,0.0,0.0,6.0
VIRTUAL HUB - WASHINGTON PARK ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - HYATT HOUSE ATLANTA,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - WASHINGTON PARK LIBRARY ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - GRADUATE LIVING CENTER,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
GEORGIA TECH - CLOUGH BUILDING,24,12,12,1,2,3,3,3,4,5,3,0.0,96.63,14.0
MARTA - MIDTOWN  (NORTH),1,0,1,0,1,0,0,0,0,0,0,20.25,0.0,1.5
VIRTUAL HUB - MARIETTA AND BOSS STREET NW ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - EAST ATLANTA VILLAGE,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - COAN PARK RECREATION CENTER ,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB- TWO WHEEL VALET/ ATLANTA UNITED,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - KROGER/GLEENWOOD HUB ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
WOODRUFF PARK,3,0,3,0,0,0,1,0,0,0,2,0.0,0.0,4.5
GSU ARTS & HUMANITIES BLDG,2,0,2,0,1,0,1,0,0,0,0,0.0,0.0,8.5
GSU MARTA,11,6,5,2,1,0,0,4,4,0,0,0.0,0.0,5.5
SWEET AUBURN MARKET,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
NELSON ST BRIDGE,1,0,1,0,0,0,0,0,0,0,1,0.0,0.0,3.5
CITY HALL,1,0,1,0,1,0,0,0,0,0,0,0.0,0.0,8.0
VIRTUAL HUB - M. RICH CENTER,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
CENTENNIAL OLYMPIC PARK,11,5,6,0,1,2,1,2,1,1,3,0.0,15.65,11.0
FAIRLIE-POPLAR DISTRICT,2,0,2,0,0,0,1,0,1,0,0,0.0,0.0,6.0
PIEDMONT &  AUBURN,1,0,1,0,1,0,0,0,0,0,0,0.0,0.0,10.0
MARTA - NORTH AVE ,11,4,7,0,1,1,0,2,3,1,3,0.0,0.0,6.0
AUC - WOODRUFF LIBRARY,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
PIEDMONT PARK & EASTSIDE BELTLINE,73,34,39,1,1,4,4,21,22,8,12,0.0,26.56,13.0
PIEDMONT PARK EAST,50,24,26,2,0,2,3,15,14,5,9,0.0,26.9,11.5
STUDIOPLEX,2,0,2,0,0,0,1,0,0,0,1,0.0,0.0,5.5
