Name,Rentals total,Rentals out,Rentals in,00:00 - 11:00 out,00:00 - 11:00 in,11:00 - 15:00 out,11:00 - 15:00 in,15:00 - 19:00 out,15:00 - 19:00 in,19:00 - 23:59 out,19:00 - 23:59 in,Time low [%],Time full [%],Median bikes
VIRTUAL HUB - ATLANTA BICYCLE COALITION,0,0,0,0,0,0,0,0,0,0,0,0.0,100.0,0
VIRTUAL HUB - CANDLER PARK ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - BROWNWOOD PARK RECREATION CENTER,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
TWO WHEEL VALET-CARE WALK IN HER SHOES- VIRTUAL HUB,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
BROAD & MITCHELL,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0
TECH SQUARE ,14,9,5,1,4,2,0,2,0,4,1,0.0,0.0,6.0
MARTA - KING MEMORIAL ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,7.0
OUTWRIGHT STATION,10,5,5,1,1,2,1,2,2,0,1,29.29,0.0,5.0
MARTA - PEACHTREE CENTER ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - WASHINGTON PARK ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - HYATT HOUSE ATLANTA,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - WASHINGTON PARK LIBRARY ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - GRADUATE LIVING CENTER,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
GEORGIA TECH - CLOUGH BUILDING,10,4,6,1,0,0,4,1,2,2,0,0.0,0.0,5.5
MARTA - MIDTOWN  (NORTH),7,3,4,1,0,2,2,0,1,0,1,29.28,0.0,5.0
VIRTUAL HUB - MARIETTA AND BOSS STREET NW ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - EAST ATLANTA VILLAGE,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - COAN PARK RECREATION CENTER ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB- TWO WHEEL VALET/ ATLANTA UNITED,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - KROGER/GLEENWOOD HUB ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
WOODRUFF PARK,2,1,1,0,0,0,1,1,0,0,0,0.0,0.0,2.5
GSU ARTS & HUMANITIES BLDG,1,0,1,0,0,0,0,0,1,0,0,0.0,0.0,3.5
GSU MARTA,6,3,3,0,1,1,2,1,0,1,0,0.0,0.0,5.0
SWEET AUBURN MARKET,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
NELSON ST BRIDGE,1,1,0,1,0,0,0,0,0,0,0,0.0,0.0,6.0
CITY HALL,3,0,3,0,3,0,0,0,0,0,0,0.0,0.0,6.0
VIRTUAL HUB - M. RICH CENTER,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
CENTENNIAL OLYMPIC PARK,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,10.0
FAIRLIE-POPLAR DISTRICT,1,0,1,0,1,0,0,0,0,0,0,0.0,0.0,6.5
PIEDMONT &  AUBURN,2,0,2,0,0,0,2,0,0,0,0,0.0,0.0,6.5
MARTA - NORTH AVE ,1,0,1,0,1,0,0,0,0,0,0,0.0,100.0,12.0
AUC - WOODRUFF LIBRARY,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,6.0
PIEDMONT PARK & EASTSIDE BELTLINE,8,2,6,0,2,0,1,1,1,1,2,0.0,51.3,11.0
PIEDMONT PARK EAST,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,7.0
STUDIOPLEX,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
KING OF POPS,5,2,3,2,1,0,1,0,1,0,0,0.0,85.81,11.0
GREENWOOD AVE BELTLINE,10,5,5,2,0,3,4,0,0,0,1,0.0,29.29,8.5
MARTA - ARTS CENTER ,7,3,4,0,2,2,2,0,0,1,0,0.0,42.41,10.0
ATKINS PARK,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
JACKSON & CHAMBERLAIN,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
RANDOLPH & EDGEWOOD,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
EDGEWOOD & EASTSIDE BELTLINE,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.0
5TH & ARGONNE,2,1,1,0,0,0,0,1,0,0,1,0.0,0.0,9.5
LITTLE FIVE POINTS,6,3,3,2,0,1,2,0,0,0,1,0.0,0.0,8.0
INMAN PARK,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
PARK & MEMORIAL,2,1,1,0,0,1,0,0,0,0,1,0.0,0.0,4.0
CHEROKEE & WOODWARD,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - MILLTOWN,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
BUCKHEAD - TOWER PLACE,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
BUCKHEAD - PIEDMONT CENTER,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
MARTA - LENOX SQUARE,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
ATLANTIC STATION,1,1,0,0,0,0,0,1,0,0,0,0.0,0.0,9.0
