Name,Rentals total,Rentals out,Rentals in,00:00 - 11:00 out,00:00 - 11:00 in,11:00 - 15:00 out,11:00 - 15:00 in,15:00 - 19:00 out,15:00 - 19:00 in,19:00 - 23:59 out,19:00 - 23:59 in,Time low [%],Time full [%],Median bikes
VIRTUAL HUB - ATLANTA BICYCLE COALITION,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - CANDLER PARK ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - BROWNWOOD PARK RECREATION CENTER,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
TWO WHEEL VALET-CARE WALK IN HER SHOES- VIRTUAL HUB,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
BROAD & MITCHELL,1,1,0,1,0,0,0,0,0,0,0,0.0,0.0,1.0
TECH SQUARE ,10,5,5,0,1,3,2,1,1,1,1,0.0,0.0,2.0
MARTA - KING MEMORIAL ,5,2,3,0,0,1,1,1,2,0,0,0.0,0.0,4.0
OUTWRIGHT STATION,13,7,6,0,0,2,2,5,4,0,0,0.0,0.0,10.0
MARTA - PEACHTREE CENTER ,2,1,1,0,0,1,1,0,0,0,0,0.0,0.0,5.5
VIRTUAL HUB - WASHINGTON PARK ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - HYATT HOUSE ATLANTA,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - WASHINGTON PARK LIBRARY ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - GRADUATE LIVING CENTER,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
GEORGIA TECH - CLOUGH BUILDING,11,3,8,0,3,1,3,1,2,1,0,0.0,9.63,9.0
MARTA - MIDTOWN  (NORTH),3,1,2,0,0,0,1,1,0,0,1,0.0,0.0,4.0
VIRTUAL HUB - MARIETTA AND BOSS STREET NW ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - EAST ATLANTA VILLAGE,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - COAN PARK RECREATION CENTER ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB- TWO WHEEL VALET/ ATLANTA UNITED,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - KROGER/GLEENWOOD HUB ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
WOODRUFF PARK,2,1,1,0,1,0,0,0,0,1,0,0.0,0.0,6.0
GSU ARTS & HUMANITIES BLDG,3,1,2,0,0,1,1,0,1,0,0,0.0,0.0,6.0
GSU MARTA,6,2,4,0,2,1,1,0,1,1,0,0.0,0.0,4.0
SWEET AUBURN MARKET,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,5.5
NELSON ST BRIDGE,2,1,1,0,0,1,1,0,0,0,0,0.0,0.0,2.5
CITY HALL,2,1,1,0,0,0,0,0,1,1,0,0.0,100.0,11.5
VIRTUAL HUB - M. RICH CENTER,2,0,2,0,0,0,0,0,0,0,2,84.93,0.0,1.0
CENTENNIAL OLYMPIC PARK,5,3,2,0,0,0,1,3,1,0,0,0.0,0.0,6.0
FAIRLIE-POPLAR DISTRICT,2,0,2,0,1,0,0,0,0,0,1,0.0,0.0,4.5
PIEDMONT &  AUBURN,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
MARTA - NORTH AVE ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
AUC - WOODRUFF LIBRARY,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
PIEDMONT PARK & EASTSIDE BELTLINE,21,11,10,1,1,8,5,1,3,1,1,0.0,52.19,10.0
PIEDMONT PARK EAST,8,3,5,0,0,1,2,2,3,0,0,0.0,91.36,11.5
STUDIOPLEX,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,8.0
KING OF POPS,9,4,5,1,0,0,2,3,3,0,0,0.0,83.67,11.5
GREENWOOD AVE BELTLINE,26,11,15,0,0,3,4,7,8,1,3,0.0,100.0,16.5
MARTA - ARTS CENTER ,8,4,4,0,2,1,1,2,0,1,1,0.0,0.0,5.0
ATKINS PARK,1,0,1,0,0,0,0,0,0,0,1,0.0,0.0,3.5
JACKSON & CHAMBERLAIN,2,1,1,0,0,0,0,0,0,1,1,0.0,0.0,6.5
RANDOLPH & EDGEWOOD,3,2,1,0,0,2,0,0,1,0,0,21.91,0.0,0.5
EDGEWOOD & EASTSIDE BELTLINE,2,1,1,0,0,1,0,0,1,0,0,0.0,0.0,5.5
5TH & ARGONNE,5,2,3,1,0,1,0,0,3,0,0,0.0,0.0,4.0
LITTLE FIVE POINTS,4,2,2,2,0,0,0,0,2,0,0,0.0,0.0,5.5
INMAN PARK,0,0,0,0,0,0,0,0,0,0,0,0.0,76.37,10.0
PARK & MEMORIAL,4,2,2,2,1,0,1,0,0,0,0,0.0,0.0,5.0
CHEROKEE & WOODWARD,3,2,1,0,0,2,1,0,0,0,0,0.0,0.0,3.5
VIRTUAL HUB - MILLTOWN,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
BUCKHEAD - TOWER PLACE,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
BUCKHEAD - PIEDMONT CENTER,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
MARTA - LENOX SQUARE,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
ATLANTIC STATION,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,5.0
MARTA - GARNETT,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
IRWIN & EASTSIDE BELTLINE ,21,11,10,1,0,5,3,4,7,1,0,0.0,0.0,6.5
Relay HQ (Deleted),0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL HUB - 329 NELSON ST (Special Event, Oct)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL HUB - 313 NELSON ST (Special Event, Oct)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL HUB - Two Wheel Valet/ABC Donation Hub - PRIDE (Special Event, Oct)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL  HUB - Two Wheel Valet/ABC Donation Hub (Special Event, Nov, Dec)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - DUNBAR REC CENTER,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
"VIRTUAL HUB - Two Wheel Valet/ABC Donation Hub - Taste of Atlanta (Special Event, Nov))",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
CASTLEBERRY HILL,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL HUB - Two Wheel Valet/ABC Donation Hub CHOMP AND STOMP (Special Event, Oct)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL HUB - FALCONS TAILGATE (Special Event, Nov)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL HUB - PATH PARKWAY (Special Event, Dec)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - PITTMAN REC CENTER,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - RDA SQUARE,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
